addee, addor, resnum, remres, remnum, remrem
00, 00, 00, 01, false, false
00, 01, 01, 02, false, false
00, 02, 02, 03, false, false
00, 03, 03, 04, false, false
00, 04, 04, 05, false, false
00, 05, 05, 06, false, false
00, 06, 06, 07, false, false
00, 07, 07, 08, false, false
00, 08, 08, 09, false, false
00, 09, 09, 10, false, false
00, 10, 10, 11, false, false
00, 11, 11, 12, false, false
00, 12, 12, 13, false, false
00, 13, 13, 14, false, false
00, 14, 14, 15, false, false
00, 15, 15, 16, false, false
00, 16, 16, 17, false, false
00, 17, 17, 18, false, false
00, 18, 18, 19, false, false
00, 19, 19, 20, false, false
00, 20, 20, 21, false, false
00, 21, 21, 22, false, false
00, 22, 22, 23, false, false
00, 23, 23, 00, false, true
01, 00, 01, 02, false, false
01, 01, 02, 03, false, false
01, 02, 03, 04, false, false
01, 03, 04, 05, false, false
01, 04, 05, 06, false, false
01, 05, 06, 07, false, false
01, 06, 07, 08, false, false
01, 07, 08, 09, false, false
01, 08, 09, 10, false, false
01, 09, 10, 11, false, false
01, 10, 11, 12, false, false
01, 11, 12, 13, false, false
01, 12, 13, 14, false, false
01, 13, 14, 15, false, false
01, 14, 15, 16, false, false
01, 15, 16, 17, false, false
01, 16, 17, 18, false, false
01, 17, 18, 19, false, false
01, 18, 19, 20, false, false
01, 19, 20, 21, false, false
01, 20, 21, 22, false, false
01, 21, 22, 23, false, false
01, 22, 23, 00, false, true
01, 23, 00, 01, true, true
02, 00, 02, 03, false, false
02, 01, 03, 04, false, false
02, 02, 04, 05, false, false
02, 03, 05, 06, false, false
02, 04, 06, 07, false, false
02, 05, 07, 08, false, false
02, 06, 08, 09, false, false
02, 07, 09, 10, false, false
02, 08, 10, 11, false, false
02, 09, 11, 12, false, false
02, 10, 12, 13, false, false
02, 11, 13, 14, false, false
02, 12, 14, 15, false, false
02, 13, 15, 16, false, false
02, 14, 16, 17, false, false
02, 15, 17, 18, false, false
02, 16, 18, 19, false, false
02, 17, 19, 20, false, false
02, 18, 20, 21, false, false
02, 19, 21, 22, false, false
02, 20, 22, 23, false, false
02, 21, 23, 00, false, true
02, 22, 00, 01, true, true
02, 23, 01, 02, true, true
03, 00, 03, 04, false, false
03, 01, 04, 05, false, false
03, 02, 05, 06, false, false
03, 03, 06, 07, false, false
03, 04, 07, 08, false, false
03, 05, 08, 09, false, false
03, 06, 09, 10, false, false
03, 07, 10, 11, false, false
03, 08, 11, 12, false, false
03, 09, 12, 13, false, false
03, 10, 13, 14, false, false
03, 11, 14, 15, false, false
03, 12, 15, 16, false, false
03, 13, 16, 17, false, false
03, 14, 17, 18, false, false
03, 15, 18, 19, false, false
03, 16, 19, 20, false, false
03, 17, 20, 21, false, false
03, 18, 21, 22, false, false
03, 19, 22, 23, false, false
03, 20, 23, 00, false, true
03, 21, 00, 01, true, true
03, 22, 01, 02, true, true
03, 23, 02, 03, true, true
04, 00, 04, 05, false, false
04, 01, 05, 06, false, false
